project_id,project_type,material_type,surface_area_m2,num_levels,num_units,building_height_m,num_revisions,revision_reason,planned_start_date,planned_end_date,expected_duration_days,scope_category
P-2024-001,Commercial,Mixed,1859,4,1,13.64,1,Foundation Design Revision,2024-12-12,2025-02-23,73,New Build - Mid Density
P-2024-002,Industrial,Wood,3582,3,1,12.12,2,Value Engineering Request,2024-02-01,2024-07-17,167,Complex Infrastructure
P-2023-001,Commercial,Wood,1318,3,1,14.45,6,Accessibility Standard Update,2023-08-24,2023-10-21,58,Tenant Improvement
P-2024-003,Institutional,Steel,1301,3,1,12.06,2,Accessibility Standard Update,2024-06-06,2024-08-08,63,Complex Infrastructure
P-2023-002,Industrial,Concrete,4649,11,1,50.79,3,Structural Detail Revision,2023-05-24,2024-02-15,267,Complex Infrastructure
P-2022-001,Commercial,Steel,1889,7,1,30.69,2,Field Adjustment Needed,2022-10-15,2023-01-07,84,Tenant Improvement
P-2023-003,Commercial,Mixed,930,2,1,9.6,1,Stakeholder Requirement Change,2023-10-25,2023-12-12,48,New Build - Mid Density
P-2024-004,Residential,Wood,428,3,1,9.69,2,Procurement Delay,2024-09-28,2024-11-02,35,New Build - Low Density
P-2023-004,Residential,Wood,160,2,7,7.17,3,Permit Review Comments,2023-06-10,2023-07-09,29,New Build - Low Density
P-2022-002,Commercial,Concrete,1941,7,1,27.02,0,None,2022-10-12,2023-01-06,86,New Build - Mid Density
P-2022-003,Residential,Steel,358,1,3,3.43,3,Specification Clarification,2022-11-24,2022-12-17,23,New Build - Low Density
P-2022-004,Industrial,Wood,3642,3,1,15.87,1,Access or Logistics Constraint,2022-02-20,2022-08-11,172,Complex Infrastructure
P-2024-005,Industrial,Concrete,2518,10,1,50.74,0,None,2024-05-12,2024-12-07,209,Complex Infrastructure
P-2024-006,Commercial,Mixed,1517,3,1,13.81,2,RFI Response Integration,2024-01-17,2024-03-07,50,Tenant Improvement
P-2023-005,Commercial,Concrete,1665,7,1,19.72,1,Stakeholder Requirement Change,2023-04-08,2023-07-17,100,New Build - Mid Density
